,Calendar
59,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 459 z 555     Út 18.5.   Volná kapacita 524 z 555     St 19.5.   Volná kapacita 542 z 555     Čt 20.5.   Volná kapacita 545 z 555     Pá 21.5.   Volná kapacita 543 z 555     So 22.5.   Volná kapacita 552 z 555
60,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita255 z 555     Út 18.5.   Volná kapacita 450 z 555     St 19.5.   Volná kapacita 482 z 555     Čt 20.5.   Volná kapacita 508 z 555     Pá 21.5.   Volná kapacita 533 z 555     So 22.5.   Volná kapacita 540 z 555
61,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 409 z 555     Út 18.5.   Volná kapacita 506 z 555     St 19.5.   Volná kapacita 521 z 555     Čt 20.5.   Volná kapacita 529 z 555     Pá 21.5.   Volná kapacita 540 z 555     So 22.5.   Volná kapacita 553 z 555
62,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
63,Ne 16.5.   Zavřeno     Po 17.5.   Maximální kapacita     Út 18.5.   Maximální kapacita     St 19.5.   Maximální kapacita     Čt 20.5.   Maximální kapacita     Pá 21.5.   Maximální kapacita     So 22.5.   Zavřeno
64,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita96 z 204     Út 18.5.   Volná kapacita97 z 204     St 19.5.   Volná kapacita 108 z 204     Čt 20.5.   Volná kapacita 118 z 204     Pá 21.5.   Volná kapacita 154 z 204     So 22.5.   Zavřeno
65,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
66,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
67,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
68,Ne 16.5.   Volná kapacita 26 z 29     Po 17.5.   Volná kapacita 58 z 60     Út 18.5.   Volná kapacita 58 z 60     St 19.5.   Volná kapacita 58 z 60     Čt 20.5.   Volná kapacita 60 z 60     Pá 21.5.   Volná kapacita 60 z 60     So 22.5.   Volná kapacita 60 z 60
69,Ne 16.5.   Volná kapacita 27 z 29     Po 17.5.   Volná kapacita 53 z 57     Út 18.5.   Volná kapacita 57 z 59     St 19.5.   Volná kapacita 60 z 60     Čt 20.5.   Volná kapacita 57 z 59     Pá 21.5.   Volná kapacita 60 z 60     So 22.5.   Volná kapacita 60 z 60
70,Ne 16.5.   Volná kapacita 23 z 33     Po 17.5.   Volná kapacita 56 z 61     Út 18.5.   Volná kapacita 56 z 60     St 19.5.   Volná kapacita 55 z 60     Čt 20.5.   Volná kapacita 58 z 60     Pá 21.5.   Volná kapacita 57 z 60     So 22.5.   Volná kapacita 57 z 60
71,Ne 16.5.   Volná kapacita 12 z 17     Po 17.5.   Volná kapacita 45 z 49     Út 18.5.   Volná kapacita 46 z 48     St 19.5.   Volná kapacita 47 z 48     Čt 20.5.   Volná kapacita 47 z 48     Pá 21.5.   Volná kapacita 45 z 49     So 22.5.   Volná kapacita 48 z 48
72,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
73,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
74,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 137 z 160     Út 18.5.   Volná kapacita 155 z 160     St 19.5.   Volná kapacita 148 z 160     Čt 20.5.   Volná kapacita 144 z 160     Pá 21.5.   Volná kapacita 152 z 160     So 22.5.   Volná kapacita 68 z 80
75,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 49 z 60     Út 18.5.   Volná kapacita 58 z 60     St 19.5.   Volná kapacita 57 z 60     Čt 20.5.   Volná kapacita 60 z 60     Pá 21.5.   Volná kapacita 58 z 60     So 22.5.   Zavřeno
76,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 140 z 160     Út 18.5.   Volná kapacita 147 z 160     St 19.5.   Volná kapacita 151 z 160     Čt 20.5.   Volná kapacita 152 z 160     Pá 21.5.   Volná kapacita 152 z 160     So 22.5.   Volná kapacita 74 z 80
77,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
78,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 168 z 200     Út 18.5.   Volná kapacita 187 z 200     St 19.5.   Volná kapacita 177 z 200     Čt 20.5.   Volná kapacita 181 z 200     Pá 21.5.   Volná kapacita 189 z 200     So 22.5.   Volná kapacita 72 z 80
79,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
80,Ne 16.5.   Volná kapacita 48 z 51     Po 17.5.   Volná kapacita 190 z 192     Út 18.5.   Volná kapacita 187 z 192     St 19.5.   Volná kapacita 189 z 192     Čt 20.5.   Volná kapacita 192 z 192     Pá 21.5.   Volná kapacita 190 z 192     So 22.5.   Volná kapacita 192 z 192
81,Ne 16.5.   Volná kapacita 812 z 814     Po 17.5.   Volná kapacita 813 z 814     Út 18.5.   Volná kapacita 813 z 814     St 19.5.   Volná kapacita 811 z 814     Čt 20.5.   Volná kapacita 811 z 814     Pá 21.5.   Volná kapacita 812 z 814     So 22.5.   Volná kapacita 814 z 814
82,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
83,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
84,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
85,Ne 16.5.   Žádná data     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
86,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita11 z 46     Út 18.5.   Volná kapacita 23 z 46     St 19.5.   Volná kapacita21 z 46     Čt 20.5.   Volná kapacita 24 z 35     Pá 21.5.   Zavřeno     So 22.5.   Zavřeno
87,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita20 z 48     Út 18.5.   Volná kapacita 24 z 48     St 19.5.   Volná kapacita20 z 48     Čt 20.5.   Zavřeno     Pá 21.5.   Volná kapacita 23 z 36     So 22.5.   Zavřeno
88,Ne 16.5.   Volná kapacita15 z 48     Po 17.5.   Volná kapacita 19 z 30     Út 18.5.   Zavřeno     St 19.5.   Volná kapacita 25 z 30     Čt 20.5.   Zavřeno     Pá 21.5.   Zavřeno     So 22.5.   Volná kapacita16 z 47
89,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Žádná data
90,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
91,Ne 16.5.   Maximální kapacita     Po 17.5.   Maximální kapacita     Út 18.5.   Volná kapacita 27 z 30     St 19.5.   Volná kapacita 110 z 120     Čt 20.5.   Volná kapacita 113 z 124     Pá 21.5.   Volná kapacita 116 z 122     So 22.5.   Maximální kapacita
92,Ne 16.5.   Zavřeno     Po 17.5.   Volná kapacita 30 z 30     Út 18.5.   Volná kapacita 30 z 30     St 19.5.   Volná kapacita 30 z 30     Čt 20.5.   Volná kapacita 30 z 30     Pá 21.5.   Volná kapacita 30 z 30     So 22.5.   Zavřeno
93,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 189 z 216     Út 18.5.   Volná kapacita 200 z 216     St 19.5.   Volná kapacita 211 z 216     Čt 20.5.   Volná kapacita 205 z 216     Pá 21.5.   Volná kapacita 204 z 216     So 22.5.   Volná kapacita 158 z 168
94,Ne 16.5.   Zavřeno     Po 17.5.   Žádná data     Út 18.5.   Žádná data     St 19.5.   Žádná data     Čt 20.5.   Žádná data     Pá 21.5.   Žádná data     So 22.5.   Zavřeno
95,Ne 16.5.   Maximální kapacita     Po 17.5.   Volná kapacita 80 z 117     Út 18.5.   Volná kapacita 99 z 117     St 19.5.   Volná kapacita 90 z 117     Čt 20.5.   Volná kapacita 97 z 117     Pá 21.5.   Volná kapacita 100 z 117     So 22.5.   Volná kapacita 46 z 46
